importance,subject_str,q_prompt,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8
4,Doctor,,Monster,,,,,,,
4,Drama Action,Choose a tag for the drama action anime,Takes Places in Afterlife,Takes Place in New York City,Takes Place in Japan,Androids and Cyborgs,,,,
4,Dream Control,,Paprika,,,,,,,
4,Effects of War,,Violet Evergarden,,,,,,,
4,Escape,,The Promised Neverland,,,,,,,
4,Extremely Popular,What popular anime would you like to watch?,Deaf,Bookworm Meets Popular Girl,Final High School Music Performance,Knights and Mystical Beings,,,,
4,Eye-patch,,Another,,,,,,,
4,Family,Choose a type of tag for family anime,Audience: Josei,Father is a Yakuza Member,Audience: Seinen,,,,,
4,Framed,,Rising of the Shield Hero,,,,,,,
4,Friends,Choose a type of tag for friends anime,The Art of Laziness,First Love,Shopping Alley,Mystery Club,Peaceful Magic,,,
4,Gay,,Junjou Romantica,,,,,,,
4,Harem,Choose a type of tag for the harem anime,Bi-Isekai,Reverse Classic,Monster Girls,Identical Sisters,,,,
4,Homeless People,,Tokyo Godfathers,,,,,,,
4,Idols,,Perfect Blue,,,,,,,
4,Japanese Culture,What's the focus on Japanese Culture?,Swords,Samurai,Yokai (Folklore Creatures),,,,,
4,Japanese Tale,,The Tale of the Princess Kaguya,,,,,,,
4,Jazz,Who are we following?,Mafia,Bounty Hunter,Swindler,Fugitive,,,,
4,Journeys,Where to travel?,Up,Down,Europe during the Holy Roman Empire,Antarctica,,,,
4,Lesbian,,Bloom Into You,,,,,,,
4,Living Again,,Colorful - The Motion Picture,,,,,,,
4,Long Seasons,Pick your poison,Pirates,Ninjas,Spirit Samurai,Mages,Wizards,Hunters,Mechas,The OG
4,Love Triangle,,Oregairu,,,,,,,
4,Love/Hate,,Sword Art Online,,,,,,,
4,Magic,,That TIme I Got Reincarnated as a Slime,,,,,,,
4,Masks,,Into the Forest of Fireflies' Light,,,,,,,
4,Mental Health,What is your favorite flavor of mental illness?,Depression,Dissociative Identity Disorder,,,,,,
4,Modern,What modern sport?,Ball Games,Modern Aquatic Sports,Modern Racing,Modern Boxing,Cooking,Skateboarding,Ice Skating,Kurata
4,Musing,Choose a tag for the music action anime,About Judgement,About Reflection on Life Choices,,,,,,
4,Must Watch for Movie Only's,Choose the genre of this must watch movie,Saving Nature,Getting Lost,,,,,,
4,Newer Gambling Show,,Kakegurui,,,,,,,
4,No harem,Choose a type of tag for the rom-com anime,Adult Nerds,Battle of Wits,Rom-Com Parody,Baseball,Multiple Couples,,,
4,Older Gambling Show,,Kaiji: Ultimate Survivor,,,,,,,
4,Other Good Ones,Choose a tag for these other older family friendly movies,Engineer,Making a Friend,Laputa,Wizards and Witches,Moving to a new Home,Cat Kingdom,Country Roads,
4,Overcoming Grief,Who causes the grief?,Childhood Friend,Young Pianist Loses Mother,,,,,,
4,Overpowered,,Overlord,,,,,,,
4,Racing Competition,,Redine,,,,,,,
4,Rebellion,,Code Geass,,,,,,,
4,Requires Patience,,Clannad,,,,,,,
4,Runaway Student,,Weathering With You,,,,,,,
4,Saving the World,,HELLO WORLD,,,,,,,
4,School,Choose a type of tag for the school anime,Horny Teens,Alien Teacher,The Perfect Man,Yare Yare...,Horny College Kids,,,
4,Science,,Dr. Stone,,,,,,,
4,Shinkai's Underrated Gems,Which of his underrated gems?,Alternate Postwar,Family Friendly,,,,,,
4,Shoe-Maker,,The Garden of Words,,,,,,,
4,Short collection,,5 Centimeters per Second,,,,,,,
4,Short Seasons,What are you looking for?,Evil Beings,Many Seasons,Gritty,Funny,Pure Action,,,
4,Smart/Cute,,Ascendance of a Bookworm,,,,,,,
4,Spectators of War,What type of story for these spectators are you looking for?,Story of One Woman in War,Story of Two Children in War,,,,,,
4,Supernatural Slice of Life,,Bunny Girl Senpai,,,,,,,
4,Talent vs. Hard Work,,The Pet Girl of Sakurasou,,,,,,,
4,Terrorists,,Terror In Resonance,,,,,,,
4,The Mecha Genre,,Neon Genesis Evangelion,,,,,,,
4,The Undead,,Tokyo Ghoul,,,,,,,
4,The World Is Upside Down,,Patema Inverted,,,,,,,
4,Time Loops,,The Girl Who Leapt Through Time,,,,,,,
4,University Students,,"The Night Is Short, Walk on Girl",,,,,,,
4,Unlikely Wingmen,,Toradora!,,,,,,,
4,Vampires,,Shiki,,,,,,,
4,Wolves,,Wolf Children,,,,,,,
4,Work,Who's working?,Teacher,Bookseller,Theme Park Director,McDonald's Manager,,,,
4,You Mean Riding Waves?,,Ride Your Wave,,,,,,,
5,About Judgement,,Death Parade,,,,,,,
5,About Reflection on Life Choices,,The Tatami Galaxy,,,,,,,
5,Adult Nerds,,Love is Hard for Otaku,,,,,,,
5,Alien Teacher,,Assassination Classroom,,,,,,,
5,Alternate Postwar,,The Place Promised in Our Early Days,,,,,,,
5,Androids and Cyborgs,,Ghost in the Shell: SAC,,,,,,,
5,Anime Production,,Shirobako,,,,,,,
5,Antarctica,,A Place Further than the Universe,,,,,,,
5,Audience: Josei,,Usagi Drop,,,,,,,
5,Audience: Seinen,,Sweetness & Lightning,,,,,,,
5,Ball Games,What balls do you like?,Modern Volleyball,Modern Basketball,Modern Ping-Pong,Modern American Football,Modern Tennis,,,
5,Band and Drama,,Sound! Euphonium,,,,,,,
5,Baristas,,Is the Order a Rabbit?,,,,,,,
5,Baseball,,Cross Game,,,,,,,
5,Battle of Wits,,Kaugya-sama Love is War,,,,,,,
5,Best Swordsman,,Sword of the Stranger,,,,,,,
5,Bi-Isekai,,My Next Life as a Villainess: All Routes lead to Doom!,,,,,,,
5,Bookseller,,Skull-face Bookseller Honda-san,,,,,,,
5,Bookworm Meets Popular Girl,,I Want To Eat Your Pancreas,,,,,,,
5,Bounty Hunter,,Cowboy Bebop,,,,,,,
5,Camping,,Yuru Camp,,,,,,,
5,Cat Kingdom,,The Cat Returns,,,,,,,
5,Childhood Friend,,AnoHana,,,,,,,
5,Classic Baseball,,Major,,,,,,,
5,Classic Basketball,,Slam Dunk,,,,,,,
5,Classic Boxing,,Hajime no Ippo,,,,,,,
5,Classic Car Racing,,Initial-D,,,,,,,
5,Classic Tennis,,Prince of Tennis,,,,,,,
5,Coding Fights,,Summer Wars,,,,,,,
5,Cooking,,Food Wars!,,,,,,,
5,Country Roads,,Whisper of the Heart,,,,,,,
5,Cute Culture Clash,,Kiniro Mosaic,,,,,,,
5,Deaf,,A Silent Voice,,,,,,,
5,Depression,,March Comes in Like a Lion,,,,,,,
5,Dissociative Identity Disorder,,Serial Experiments Lain,,,,,,,
5,Down,,Made in Abyss,,,,,,,
5,Educational Fun,What would you like to learn about?,Japanese Snacks,The Human Body,Fitness,,,,,
5,Engineer,,The Wind Rises,,,,,,,
5,Europe during the Holy Roman Empire,,Spice & Wolf ,,,,,,,
5,Evil Beings,Who's evil?,Evil Spirits,Evil Vampires,,,,,,
5,Family Friendly,,Children who Chase Lost Voices,,,,,,,
5,Father is a Yakuza Member,,Hinamatsuri,,,,,,,
5,Festival Dancing,,Hanayamata,,,,,,,
5,Final High School Music Performance,,Liz and the Blue Bird,,,,,,,
5,Finding a Different Realm,,The Boy and the Beast,,,,,,,
5,First Love,,Teasing Master Takagi-san,,,,,,,
5,From the Showa Era (Rakugo),,Showa Genroku Rakugo Shinjuu,,,,,,,
5,Fugitive,,Lupin III,,,,,,,
5,Fun in the Boonies,,Non Non Biyori,,,,,,,
5,Funny,What funnies?,Superhero,Super Power,Super Robot,Ecchi,Mythology,,,
5,Getting Lost,,Spirited Away,,,,,,,
5,Gondola Tour Guides,,Aria,,,,,,,
5,Goofing Off,,Yuyushiki,,,,,,,
5,Gritty,Who's involved?,Sorcerers,Vikings,Mercenaries,Vampires,,,,
5,Horny College Kids,,Grand Blue,,,,,,,
5,Horny Teens,,Prison School,,,,,,,
5,Hunters,,Hunter x Hunter (2011),,,,,,,
5,Ice Skating,,Yuri!!! On Ice,,,,,,,
5,Identical Sisters,,The Quintessential Quintuplets,,,,,,,
5,Jazz and Drama,,Kids on the Slope,,,,,,,
5,Knights and Mystical Beings,,Maquia,,,,,,,
5,Kurata,,Chihayafuru,,,,,,,
5,Laputa,,Castle in the Sky,,,,,,,
5,"Lazy Angel and ""Evil"" Deeds",,Gabriel Dropout,,,,,,,
5,Light Music,,K-On!,,,,,,,
5,Mafia,,Baccano!,,,,,,,
5,Mages,,Fairy Tail,,,,,,,
5,Magical Girls and Witches,,Kiki's Delivery Service,,,,,,,
5,Making a Friend,,When Marnie Was There,,,,,,,
5,Making Anime,,Keep Your Hands off Eizouken!,,,,,,,
5,Making Manga,,Comic Girls,,,,,,,
5,Making Video Games,,New Game!,,,,,,,
5,Manga Artist,,Bakuman,,,,,,,
5,Many Seasons,What's it about?,Fight For Humanity,Heroes,Manly,,,,,
5,McDonald's Manager,,Space Brothers,,,,,,,
5,Mechas,,Gundam,,,,,,,
5,Modern Aquatic Sports,What are you doing in the water?,Swimming,Bouncing,,,,,,
5,Modern Boxing,,Megalobox,,,,,,,
5,Modern Racing,We running or biking?,Running,Cycling,,,,,,
5,Monster Girls,,Monster Musume,,,,,,,
5,Moving to a new Home,,My Neighbor Totoro,,,,,,,
5,Multiple Couples,,Tsuredure Children,,,,,,,
5,Mystery Club,,Hyouka,,,,,,,
5,Ninjas,,Naruto,,,,,,,
5,Not Educational,How much fun would you like to have?,Boisterous Fun,Miscellaneous Daily Life,,,,,,
5,Peaceful Magic,,Flying Witch,,,,,,,
5,Pirates,,One Piece,,,,,,,
5,Post-Apocalypse,,Girls' Last Tour,,,,,,,
5,Pure Action,,God of High School,,,,,,,
5,Reverse Classic,,Ouran High School Host Club,,,,,,,
5,Rom-Com Parody,,Monthly Girls' Nozaki-Kun,,,,,,,
5,Samurai,,Samurai Champloo,,,,,,,
5,Saving Nature,,Princess Monoke,,,,,,,
5,Shopping Alley,,Tamako Market,,,,,,,
5,Skateboarding,,Sk8 the Infinity,,,,,,,
5,Spirit Samurai,,Bleach,,,,,,,
5,Story of One Woman in War,,In This Corner of the World,,,,,,,
5,Story of Two Children in War,,Grave of the Fireflies,,,,,,,
5,Swindler,,Great Pretender,,,,,,,
5,Swords,,Katanagatari,,,,,,,
5,Takes Place in Japan,,Rainbow,,,,,,,
5,Takes Place in New York City,,Banana Fish,,,,,,,
5,Takes Places in Afterlife,,Angel Beats,,,,,,,
5,Tank Drifting,,Girls und Panzer,,,,,,,
5,Teacher,,Great Teacher Onizuka,,,,,,,
5,The Art of Laziness,,Tanaka-kun is Always Listless,,,,,,,
5,The OG,,Dragon Ball,,,,,,,
5,The Perfect Man,,Haven't you heard? I'm Sakamoto,,,,,,,
5,Theme Park Director,,Amagi Brilliant Park,,,,,,,
5,Up,,Tower of God,,,,,,,
5,Wizards,,Black Clover,,,,,,,
5,Wizards and Witches,,Howl's Moving Castle,,,,,,,
5,Yare Yare...,,The Disastrous Life of Saiki K.,,,,,,,
5,Yokai (Folklore Creatures),,Mushi-shi,,,,,,,
5,Young Pianist Loses Mother,,Your Lie in April,,,,,,,
6,Boisterous Fun,Boisterous Fun about what?,Large Cast,Not So Innocent Girls,,,,,,
6,Bouncing,,Keijo,,,,,,,
6,Cycling,,Yowamushi Pedal,,,,,,,
6,Ecchi,,Kill la Kill,,,,,,,
6,Evil Spirits,,Jujutsu Kaisen,,,,,,,
6,Evil Vampires,,Demon Slayer,,,,,,,
6,Fight For Humanity,,Attack on Titan,,,,,,,
6,Fitness,,How heavy are the dumbbells you lift?,,,,,,,
6,Heroes,,My Hero Academia,,,,,,,
6,Japanese Snacks,,Dagashi Kashi,,,,,,,
6,Knights,,Hellsing Ultimate,,,,,,,
6,Manly,,JoJo's Bizarre Adventure,,,,,,,
6,Mercenaries,,Black Lagoon,,,,,,,
6,Miscellaneous Daily Life,What types of miscellaneous daily life anime?,Odd Jobs,Dragon Girls,Bizarre Roast of Society,,,,,
6,Modern American Football,,Eyeshield 21,,,,,,,
6,Modern Basketball,,Kuroko's Basketball,,,,,,,
6,Modern Ping-Pong,,Ping Pong the Animation,,,,,,,
6,Modern Tennis,,Baby Steps,,,,,,,
6,Modern Volleyball,,Haikyuu!!,,,,,,,
6,Mythology,,Noragami,,,,,,,
6,Running,,Run with the Wind,,,,,,,
6,Sorcerers,,Saga of Tanya the Evil,,,,,,,
6,Super Power,,Mob Psycho 100,,,,,,,
6,Super Robot,,Tengen Toppa Gurren Lagann,,,,,,,
6,Superhero,,One Punch Man,,,,,,,
6,Swimming,,Free!,,,,,,,
6,The Human Body,,Cells at Work!,,,,,,,
6,Vikings,,Vinland Saga,,,,,,,
7,Bizarre Roast of Society,,Humanity has Declined,,,,,,,
7,Dragon Girls,,Miss Kobayashi's Dragon Maid,,,,,,,
7,Guys Being Dudes,,Daily Lives of High School Boys,,,,,,,
7,Large Cast,,Nichijou,,,,,,,
7,Not So Innocent Girls,,Asobi Asobase,,,,,,,
7,Odd Jobs,,Gintama,,,,,,,
8,5 Centimeters per Second,,,,,,,,,
8,A Place Further than the Universe,,,,,,,,,
8,A Silent Voice,,,,,,,,,
8,A Whisker Away,,,,,,,,,
8,Akira,,,,,,,,,
8,Amagi Brilliant Park,,,,,,,,,
8,Angel Beats,,,,,,,,,
8,AnoHana,,,,,,,,,
8,Another,,,,,,,,,
8,Aria,,,,,,,,,
8,Ascendance of a Bookworm,,,,,,,,,
8,Asobi Asobase,,,,,,,,,
8,Assassination Classroom,,,,,,,,,
8,Attack on Titan,,,,,,,,,
8,Baby Steps,,,,,,,,,
8,Baccano!,,,,,,,,,
8,Bakemonogatari,,,,,,,,,
8,Bakuman,,,,,,,,,
8,Banana Fish,,,,,,,,,
8,Beastars,,,,,,,,,
8,Berserk (1997),,,,,,,,,
8,Black Clover,,,,,,,,,
8,Black Lagoon,,,,,,,,,
8,Bleach,,,,,,,,,
8,Bloom Into You,,,,,,,,,
8,Bunny Girl Senpai,,,,,,,,,
8,Castle in the Sky,,,,,,,,,
8,Cells at Work!,,,,,,,,,
8,Chihayafuru,,,,,,,,,
8,Children who Chase Lost Voices,,,,,,,,,
8,Clannad,,,,,,,,,
8,Code Geass,,,,,,,,,
8,Colorful - The Motion Picture,,,,,,,,,
8,Comic Girls,,,,,,,,,
8,Cowboy Bebop,,,,,,,,,
8,Cross Game,,,,,,,,,
8,Dagashi Kashi,,,,,,,,,
8,Daily Lives of High School Boys,,,,,,,,,
8,Danganronpa,,,,,,,,,
8,Darling in the Franxx,,,,,,,,,
8,Deadman Wonderland,,,,,,,,,
8,Death Note,,,,,,,,,
8,Death Parade,,,,,,,,,
8,Demon Slayer,,,,,,,,,
8,Devilman: Crybaby,,,,,,,,,
8,Dr. Stone,,,,,,,,,
8,Dragon Ball,,,,,,,,,
8,Erased,,,,,,,,,
8,Expelled from Paradise,,,,,,,,,
8,Eyeshield 21,,,,,,,,,
8,Fairy Tail,,,,,,,,,
8,Fate/Zero,,,,,,,,,
8,Flying Witch,,,,,,,,,
8,Food Wars!,,,,,,,,,
8,Free!,,,,,,,,,
8,Fullmetal Alchemist: Brotherhood,,,,,,,,,
8,Future Diary,,,,,,,,,
8,Gabriel Dropout,,,,,,,,,
8,Ghost in the Shell Movie,,,,,,,,,
8,Ghost in the Shell: SAC,,,,,,,,,
8,Gintama,,,,,,,,,
8,Girls und Panzer,,,,,,,,,
8,Girls' Last Tour,,,,,,,,,
8,God of High School,,,,,,,,,
8,Grand Blue,,,,,,,,,
8,Grave of the Fireflies,,,,,,,,,
8,Great Pretender,,,,,,,,,
8,Great Teacher Onizuka,,,,,,,,,
8,Gundam,,,,,,,,,
8,Haikyuu!!,,,,,,,,,
8,Hajime no Ippo,,,,,,,,,
8,Hanayamata,,,,,,,,,
8,Haven't you heard? I'm Sakamoto,,,,,,,,,
8,HELLO WORLD,,,,,,,,,
8,Hellsing Ultimate,,,,,,,,,
8,Hinamatsuri,,,,,,,,,
8,How heavy are the dumbbells you lift?,,,,,,,,,
8,Howl's Moving Castle,,,,,,,,,
8,Humanity has Declined,,,,,,,,,
8,Hunter x Hunter (2011),,,,,,,,,
8,Hyouka,,,,,,,,,
8,I Want To Eat Your Pancreas,,,,,,,,,
8,In This Corner of the World,,,,,,,,,
8,Initial-D,,,,,,,,,
8,Into the Forest of Fireflies' Light,,,,,,,,,
8,Is the Order a Rabbit?,,,,,,,,,
8,Jin-Roh: The Wolf Brigade,,,,,,,,,
8,JoJo's Bizarre Adventure,,,,,,,,,
8,Jujutsu Kaisen,,,,,,,,,
8,Junjou Romantica,,,,,,,,,
8,K-On!,,,,,,,,,
8,Kaiji: Ultimate Survivor,,,,,,,,,
8,Kakegurui,,,,,,,,,
8,Katanagatari,,,,,,,,,
8,Kaugya-sama Love is War,,,,,,,,,
8,Keep Your Hands off Eizouken!,,,,,,,,,
8,Keijo,,,,,,,,,
8,Kids on the Slope,,,,,,,,,
8,Kiki's Delivery Service,,,,,,,,,
8,Kill la Kill,,,,,,,,,
8,Kiniro Mosaic,,,,,,,,,
8,Kokoro Connect,,,,,,,,,
8,Konosuba,,,,,,,,,
8,Kuroko's Basketball,,,,,,,,,
8,Liz and the Blue Bird,,,,,,,,,
8,Love is Hard for Otaku,,,,,,,,,
8,Lupin III,,,,,,,,,
8,Made in Abyss,,,,,,,,,
8,Major,,,,,,,,,
8,Maquia,,,,,,,,,
8,March Comes in Like a Lion,,,,,,,,,
8,Megalobox,,,,,,,,,
8,Millennium Actress,,,,,,,,,
8,Mind Game,,,,,,,,,
8,Mirai,,,,,,,,,
8,Miss Kobayashi's Dragon Maid,,,,,,,,,
8,Mob Psycho 100,,,,,,,,,
8,Mononoke,,,,,,,,,
8,Monster,,,,,,,,,
8,Monster Musume,,,,,,,,,
8,Monthly Girls' Nozaki-Kun,,,,,,,,,
8,Mushi-shi,,,,,,,,,
8,My Hero Academia,,,,,,,,,
8,My Neighbor Totoro,,,,,,,,,
8,My Next Life as a Villainess: All Routes lead to Doom!,,,,,,,,,
8,Naruto,,,,,,,,,
8,Neon Genesis Evangelion,,,,,,,,,
8,New Game!,,,,,,,,,
8,Nichijou,,,,,,,,,
8,No Game No Life,,,,,,,,,
8,Non Non Biyori,,,,,,,,,
8,Noragami,,,,,,,,,
8,O Maidens in Your Savage Season,,,,,,,,,
8,One Piece,,,,,,,,,
8,One Punch Man,,,,,,,,,
8,Oregairu,,,,,,,,,
8,Ouran High School Host Club,,,,,,,,,
8,Overlord,,,,,,,,,
8,Paprika,,,,,,,,,
8,Parasyte,,,,,,,,,
8,Patema Inverted,,,,,,,,,
8,Perfect Blue,,,,,,,,,
8,Ping Pong the Animation,,,,,,,,,
8,Prince of Tennis,,,,,,,,,
8,Princess Monoke,,,,,,,,,
8,Prison School,,,,,,,,,
8,Psycho-Pass,,,,,,,,,
8,Puella Magi Madoka Magica,,,,,,,,,
8,Rainbow,,,,,,,,,
8,Re:Zero,,,,,,,,,
8,Redine,,,,,,,,,
8,Ride Your Wave,,,,,,,,,
8,Rising of the Shield Hero,,,,,,,,,
8,Run with the Wind,,,,,,,,,
8,Saga of Tanya the Evil,,,,,,,,,
8,Samurai Champloo,,,,,,,,,
8,School Live,,,,,,,,,
8,Serial Experiments Lain,,,,,,,,,
8,Shiki,,,,,,,,,
8,Shinsekai yori,,,,,,,,,
8,Shirobako,,,,,,,,,
8,Showa Genroku Rakugo Shinjuu,,,,,,,,,
8,Sk8 the Infinity,,,,,,,,,
8,Skull-face Bookseller Honda-san,,,,,,,,,
8,Slam Dunk,,,,,,,,,
8,Sound! Euphonium,,,,,,,,,
8,Space Brothers,,,,,,,,,
8,Spice & Wolf ,,,,,,,,,
8,Spirited Away,,,,,,,,,
8,Steins;Gate,,,,,,,,,
8,Summer Wars,,,,,,,,,
8,Sweetness & Lightning,,,,,,,,,
8,Sword Art Online,,,,,,,,,
8,Sword of the Stranger,,,,,,,,,
8,Tamako Market,,,,,,,,,
8,Tanaka-kun is Always Listless,,,,,,,,,
8,Teasing Master Takagi-san,,,,,,,,,
8,Tengen Toppa Gurren Lagann,,,,,,,,,
8,Terror In Resonance,,,,,,,,,
8,That TIme I Got Reincarnated as a Slime,,,,,,,,,
8,The Boy and the Beast,,,,,,,,,
8,The Cat Returns,,,,,,,,,
8,The Disastrous Life of Saiki K.,,,,,,,,,
8,The Garden of Words,,,,,,,,,
8,The Girl Who Leapt Through Time,,,,,,,,,
8,"The Night Is Short, Walk on Girl",,,,,,,,,
8,The Pet Girl of Sakurasou,,,,,,,,,
8,The Place Promised in Our Early Days,,,,,,,,,
8,The Promised Neverland,,,,,,,,,
8,The Quintessential Quintuplets,,,,,,,,,
8,The Tale of the Princess Kaguya,,,,,,,,,
8,The Tatami Galaxy,,,,,,,,,
8,The Wind Rises,,,,,,,,,
8,Tokyo Ghoul,,,,,,,,,
8,Tokyo Godfathers,,,,,,,,,
8,Toradora!,,,,,,,,,
8,Tower of God,,,,,,,,,
8,Tsuredure Children,,,,,,,,,
8,Usagi Drop,,,,,,,,,
8,Vinland Saga,,,,,,,,,
8,Violet Evergarden,,,,,,,,,
8,Weathering With You,,,,,,,,,
8,When Marnie Was There,,,,,,,,,
8,When They Cry,,,,,,,,,
8,Whisper of the Heart,,,,,,,,,
8,Wolf Children,,,,,,,,,
8,Your Lie in April,,,,,,,,,
8,Your Name.,,,,,,,,,
8,Yowamushi Pedal,,,,,,,,,
8,Yuri!!! On Ice,,,,,,,,,
